55,-1,0.00,0.00,25.72,27.59,0.75,-1,-1,-1
55,-1,208.37,21.73,56.93,34.24,0.74,-1,-1,-1
55,-1,95.05,359.44,142.04,99.17,0.58,-1,-1,-1
56,-1,337.75,114.73,151.68,67.15,0.87,-1,-1,-1
56,-1,208.40,21.73,56.87,34.28,0.73,-1,-1,-1
56,-1,0.00,0.00,23.71,26.84,0.69,-1,-1,-1
56,-1,95.24,359.43,141.94,99.36,0.63,-1,-1,-1
57,-1,328.49,113.27,152.85,65.15,0.90,-1,-1,-1
57,-1,208.37,21.73,56.93,34.32,0.74,-1,-1,-1
57,-1,94.90,360.32,142.14,98.41,0.65,-1,-1,-1
57,-1,0.00,0.00,21.22,25.77,0.64,-1,-1,-1
58,-1,317.35,111.75,151.34,64.90,0.91,-1,-1,-1
58,-1,208.36,21.75,56.92,34.26,0.75,-1,-1,-1
58,-1,0.14,0.00,17.71,24.40,0.65,-1,-1,-1
58,-1,95.13,359.48,142.09,99.25,0.58,-1,-1,-1
59,-1,307.71,109.92,150.58,64.97,0.91,-1,-1,-1
59,-1,208.38,21.73,56.88,34.26,0.75,-1,-1,-1
59,-1,0.28,0.00,15.81,23.48,0.71,-1,-1,-1
59,-1,94.77,360.45,142.14,98.44,0.55,-1,-1,-1
60,-1,298.68,105.87,150.45,65.63,0.91,-1,-1,-1
60,-1,208.36,21.68,56.95,34.33,0.75,-1,-1,-1
60,-1,0.09,0.07,14.17,21.68,0.72,-1,-1,-1
60,-1,95.18,359.62,141.61,99.29,0.57,-1,-1,-1
61,-1,290.24,104.53,149.42,63.94,0.90,-1,-1,-1
61,-1,208.36,21.70,56.97,34.34,0.76,-1,-1,-1
61,-1,0.07,0.00,13.16,20.37,0.65,-1,-1,-1
61,-1,95.10,359.33,141.88,99.27,0.61,-1,-1,-1
62,-1,281.15,101.33,147.32,63.50,0.90,-1,-1,-1
62,-1,208.35,21.73,56.98,34.28,0.76,-1,-1,-1
62,-1,95.14,359.29,141.95,99.50,0.64,-1,-1,-1
62,-1,0.08,0.99,11.30,18.18,0.57,-1,-1,-1
63,-1,272.96,99.18,145.42,64.28,0.92,-1,-1,-1
63,-1,208.34,21.64,57.07,34.34,0.74,-1,-1,-1
63,-1,95.26,359.25,141.83,99.62,0.67,-1,-1,-1
64,-1,263.45,97.99,146.00,61.96,0.90,-1,-1,-1
64,-1,208.41,21.63,56.94,34.38,0.71,-1,-1,-1
64,-1,95.12,359.19,141.97,99.67,0.68,-1,-1,-1
65,-1,253.51,95.43,146.02,60.60,0.91,-1,-1,-1
65,-1,208.37,21.64,56.99,34.38,0.72,-1,-1,-1
65,-1,95.01,359.16,142.13,99.62,0.70,-1,-1,-1
66,-1,244.26,92.80,146.99,60.90,0.89,-1,-1,-1
66,-1,94.88,359.10,142.36,99.59,0.74,-1,-1,-1
66,-1,208.42,21.65,56.87,34.28,0.70,-1,-1,-1
67,-1,235.73,90.34,144.36,59.88,0.90,-1,-1,-1
67,-1,94.94,359.24,142.18,99.41,0.70,-1,-1,-1
67,-1,208.42,21.66,56.92,34.34,0.70,-1,-1,-1
67,-1,0.00,37.17,20.02,46.49,0.64,-1,-1,-1
68,-1,228.70,87.99,141.48,59.82,0.90,-1,-1,-1
68,-1,208.43,21.60,56.97,34.43,0.72,-1,-1,-1
68,-1,94.89,359.14,142.19,99.61,0.65,-1,-1,-1
68,-1,0.06,38.50,22.78,46.65,0.54,-1,-1,-1
69,-1,222.90,84.88,138.30,61.63,0.89,-1,-1,-1
69,-1,208.44,21.61,57.00,34.45,0.72,-1,-1,-1
69,-1,95.11,359.22,141.93,99.50,0.66,-1,-1,-1
69,-1,0.00,30.92,26.46,54.50,0.65,-1,-1,-1
70,-1,211.64,82.52,140.27,61.40,0.87,-1,-1,-1
70,-1,0.00,29.23,30.59,58.24,0.81,-1,-1,-1
70,-1,208.39,21.55,57.09,34.53,0.70,-1,-1,-1
70,-1,95.00,359.11,142.03,99.71,0.60,-1,-1,-1
71,-1,204.88,82.94,133.62,57.78,0.89,-1,-1,-1
71,-1,208.47,21.64,56.90,34.50,0.70,-1,-1,-1
71,-1,0.00,27.92,33.14,58.31,0.57,-1,-1,-1
71,-1,96.15,360.43,138.99,96.87,0.54,-1,-1,-1
72,-1,197.61,80.53,136.52,58.63,0.89,-1,-1,-1
72,-1,208.53,21.71,56.84,34.28,0.72,-1,-1,-1
72,-1,0.22,31.36,36.04,57.01,0.65,-1,-1,-1
72,-1,95.07,359.27,142.05,99.53,0.55,-1,-1,-1
73,-1,190.14,76.53,136.09,59.15,0.91,-1,-1,-1
73,-1,208.49,21.79,56.88,34.07,0.78,-1,-1,-1
73,-1,0.00,31.92,40.08,59.28,0.70,-1,-1,-1
74,-1,182.96,75.08,133.73,57.72,0.89,-1,-1,-1
74,-1,208.51,21.78,56.88,34.05,0.75,-1,-1,-1
74,-1,0.06,30.39,43.38,62.87,0.73,-1,-1,-1
